window_size,lstm_dim,num_layers,dense_dim,dropout,lr,batch_size,num_epochs,optimizer_type,train_mse,test_mse,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_mape,test_mape,train_directional_acc,test_directional_acc,training_time,evaluation_time,patience,activation_function
1,50,1,50,0.0,0.0001,8,50,Adam,169914.83534146452,136702.14017986966,243.5646651867511,244.58409564744287,412.2072723054077,369.732525185261,0.009638735762139583,-0.14397456261455854,424.888628442799,176.6157369948735,0.5511302475780409,0.5238095238095238,9.960326433181763,0.0025064945220947266,24,Tanh
1,50,1,50,0.0,0.0001,8,65,Adam,173167.12629945794,174860.55127356012,248.39597894732796,293.7498953016873,416.13354382873047,418.16330694306515,-0.00931748414858724,-0.46329839751234725,374.469761643245,359.9676532659307,0.5941872981700753,0.5497835497835498,13.052928686141968,0.002501964569091797,24,Tanh
1,50,1,50,0.0,0.0001,8,80,Adam,169979.41317875823,141588.82461359628,245.00684620214273,249.76897501841177,412.28559661811886,376.2829050243929,0.009262339031062883,-0.18486816296604003,543.4316689941131,200.80699841060317,0.5640473627556513,0.5324675324675324,16.21147847175598,0.0020029544830322266,24,Tanh
1,50,1,65,0.0,0.0001,8,50,Adam,171280.0235560359,148510.56152328424,244.19314399311807,259.082853411806,413.85990812838577,385.3706806741844,0.001681634645050556,-0.24279184245909424,183.1765456647036,239.60234226282702,0.6017222820236814,0.5541125541125541,9.975382804870605,0.002000093460083008,24,Tanh
1,50,1,65,0.0,0.0001,8,65,Adam,169813.95314768617,137690.17664416257,243.76443307912587,244.63931630251216,412.0848858520368,371.06626988202873,0.010226735137053633,-0.15224282074570072,455.7208724684848,175.79275311685427,0.6404736275565124,0.5627705627705628,12.821358442306519,0.0030105113983154297,24,Tanh
1,50,1,65,0.0,0.0001,8,80,Adam,170518.6156235462,152734.3247907951,243.10712526469845,264.4116323865693,412.9389974603346,390.81239078462585,0.006119557449765223,-0.2781378709132245,183.83600855186194,262.9293283751773,0.6415500538213132,0.5454545454545454,16.174845695495605,0.003502368927001953,24,Tanh
1,50,1,80,0.0,0.0001,8,50,Adam,170255.55588392788,133543.60619562436,243.00319421873778,240.41409744407073,412.6203532109485,365.43618621535603,0.00765282072118556,-0.11754277062961993,371.8567316349153,152.73960562825098,0.604951560818084,0.6190476190476191,10.09126353263855,0.0019996166229248047,24,Tanh
1,50,1,80,0.0,0.0001,8,65,Adam,169961.63199277662,138351.96308685865,244.2388464918056,246.56512242039722,412.26403189312623,371.95693714038816,0.009365977996977914,-0.15778089685285845,490.64602107664655,186.65799172968963,0.6329386437029063,0.5454545454545454,13.01947546005249,0.0019981861114501953,24,Tanh
1,50,1,80,0.0,0.0001,8,80,Adam,175431.48202578755,168805.8316186225,253.45030663172403,288.0070735924819,418.8454154288758,410.8598685910106,-0.022515450031350692,-0.41263024220843336,467.1926766439646,337.72717309742586,0.5252960172228203,0.5324675324675324,15.815652132034302,0.0019991397857666016,24,Tanh
1,65,1,50,0.0,0.0001,8,50,Adam,170384.69785507311,146231.05675099368,243.6703631464869,257.20132321898274,412.77681361127,382.4016955388583,0.006900107130565103,-0.223716095207239,317.92563037731526,235.91248307429535,0.5866523143164694,0.5151515151515151,10.143881797790527,0.002504110336303711,24,Tanh
1,65,1,50,0.0,0.0001,8,65,Adam,169884.60769738708,138079.8296495906,243.93205098087975,246.61544167502166,412.17060508651883,371.5909439822109,0.009814919835433034,-0.1555035826172373,484.26759973588344,185.8896210981975,0.581270182992465,0.5281385281385281,13.207512378692627,0.0020003318786621094,24,Tanh
1,65,1,50,0.0,0.0001,8,80,Adam,170725.93729386176,151644.66710912745,243.73155791473167,263.36492635052775,413.1899530408039,389.41580233617566,0.004911167663758764,-0.26901920848303007,235.33715012331942,255.98916184618255,0.5285252960172229,0.5194805194805194,16.288760900497437,0.003011465072631836,24,Tanh
1,65,1,65,0.0,0.0001,8,50,Adam,170025.75314749966,137021.04714102612,245.75211964616304,244.22605995060547,412.34179165772133,370.1635410747878,0.008992243074254502,-0.14664329516639496,654.0729026506193,172.11049579599083,0.5694294940796556,0.5411255411255411,10.175557851791382,0.0020008087158203125,24,Tanh
1,65,1,65,0.0,0.0001,8,65,Adam,175338.36495781297,161289.33093692773,252.770939873357,278.9391567309149,418.7342414441563,401.6084298628799,-0.021972710270127926,-0.349729357347232,441.01862243952723,307.77856804111497,0.6006458557588805,0.5454545454545454,13.063610076904297,0.002500772476196289,24,Tanh
1,65,1,65,0.0,0.0001,8,80,Adam,170766.62149724437,135696.14484347642,248.15517629645421,241.43935079247007,413.23918194823244,368.36957643578063,0.00467403675629241,-0.13555601793465444,714.6778398685641,160.89673320009177,0.5995694294940797,0.5281385281385281,16.158568620681763,0.0020062923431396484,24,Tanh
1,65,1,80,0.0,0.0001,8,50,Adam,170181.65976351456,145769.25743182292,243.12725870919868,255.21229477582304,412.5307985635916,381.7974036473047,0.008083529758967756,-0.21985158603811428,298.59550315988,224.14946399594206,0.628632938643703,0.5541125541125541,10.050634860992432,0.0024995803833007812,24,Tanh
1,65,1,80,0.0,0.0001,8,65,Adam,174275.8024516967,156191.6630218625,250.65540656920402,270.9292942902137,417.46353427778183,395.2109095430723,-0.015779485618647282,-0.3070701684287709,339.43681620481175,279.2081037180544,0.5242195909580194,0.5324675324675324,13.630649089813232,0.002511262893676758,24,Tanh
1,65,1,80,0.0,0.0001,8,80,Adam,172517.43885165735,152682.1518561755,246.3421045355955,266.61329675740205,415.3521865256729,390.7456357480855,-0.00553073250403413,-0.277701268311515,187.50402235410894,267.9618927773897,0.6017222820236814,0.5411255411255411,16.60244393348694,0.0020003318786621094,24,Tanh
1,80,1,50,0.0,0.0001,8,50,Adam,169828.3886354811,143679.7144850308,243.0226761101992,251.72658647892794,412.1024006669715,379.05107107754066,0.010142596822033889,-0.202365510286296,308.8787910033303,208.71100226510896,0.581270182992465,0.5497835497835498,10.596911191940308,0.0034987926483154297,24,Tanh
1,80,1,50,0.0,0.0001,8,65,Adam,170958.28116459213,133900.824948019,248.92808535786827,240.0598533601724,413.4710161118819,365.9246164827108,0.0035569341202779103,-0.1205321105586854,783.6763638525584,156.37736119359755,0.5166846071044133,0.5324675324675324,13.208674669265747,0.003014802932739258,24,Tanh
1,80,1,50,0.0,0.0001,8,80,Adam,169769.37311174505,140509.80509931155,243.9453267256614,248.0568287900398,412.03079146071724,374.8463753316971,0.010486573194547044,-0.1758385246934988,502.97801964577565,191.4207615415375,0.6458557588805167,0.5584415584415584,16.34929609298706,0.0020062923431396484,24,Tanh
1,80,1,65,0.0,0.0001,8,50,Adam,170287.4446741105,148452.91554578187,243.3677703655996,257.90400638093206,412.65899320638886,385.29588052012946,0.007466954534181891,-0.24230943939054694,269.6088674846497,231.5241922545793,0.5565123789020452,0.5411255411255411,10.118337154388428,0.0029964447021484375,24,Tanh
1,80,1,65,0.0,0.0001,8,65,Adam,170047.0895667504,144929.88080895145,242.84717633959937,253.59999442324872,412.3676630953868,380.69657315104826,0.008867882166620933,-0.21282736897937005,273.96986911238474,212.94495344923897,0.589881593110872,0.5454545454545454,13.109966516494751,0.0030066967010498047,24,Tanh
1,80,1,65,0.0,0.0001,8,80,Adam,171350.08098161855,131537.2622841586,249.5868147130045,236.88485588995025,413.9445385333868,362.68066158007184,0.001273299725796262,-0.1007529354774166,741.8636964512177,146.2770337403999,0.534983853606028,0.5411255411255411,15.986671447753906,0.004509449005126953,24,Tanh
1,80,1,80,0.0,0.0001,8,50,Adam,173564.17988897298,154977.9171716713,248.24119756842748,272.3896676188501,416.610345393598,393.67234748159706,-0.011631740547047409,-0.2969130898616703,241.4700556448243,289.2307514268761,0.6706135629709364,0.5411255411255411,10.06287693977356,0.0030121803283691406,24,Tanh
1,80,1,80,0.0,0.0001,8,65,Adam,171597.89218784665,149444.4928667002,244.70473566968082,261.54816300721,414.2437593831036,386.58051278705216,-0.00017108633383844385,-0.2506073287323194,186.31831117758819,248.2683102155311,0.6254036598493004,0.5584415584415584,13.22348165512085,0.003000497817993164,24,Tanh
1,80,1,80,0.0,0.0001,8,80,Adam,172164.40090904216,161063.42240150156,246.26637578258578,275.24186345593677,414.92698262349984,401.32707658654374,-0.003473024579533801,-0.3478388703536488,241.68626116035043,297.6898547214453,0.5608180839612487,0.5151515151515151,16.37034511566162,0.003999471664428711,24,Tanh
