window_size,lstm_dim,num_layers,dense_dim,dropout,lr,batch_size,num_epochs,optimizer_type,train_mse,test_mse,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_mape,test_mape,train_directional_acc,test_directional_acc,training_time,evaluation_time,patience,activation_function
1,50,1,50,0.0,0.0001,8,50,Adam,172353.97280550195,156505.85978562792,248.39890811664884,271.9423233042914,415.15535984195355,395.6082150128179,-0.004577958487538725,-0.3096994842897407,269.0154599954905,270.2140162219859,0.38536060279870826,0.3722943722943723,9.773301839828491,0.0030019283294677734,24,Tanh
1,50,1,50,0.0,0.0001,8,65,Adam,170853.68914845333,131646.5282735202,249.22069708967996,239.34001889417132,413.344516291741,362.8312669458356,0.004166556470935223,-0.1016673140835167,742.925004704746,134.520615212876,0.341227125941873,0.33766233766233766,12.803276300430298,0.0020051002502441406,24,Tanh
1,50,1,50,0.0,0.0001,8,80,Adam,172706.47160682594,156135.17689973058,248.66778379891466,271.8468636680471,415.5796814172054,395.1394398180604,-0.006632523986896066,-0.3065974714631299,208.0504058056456,277.5963796197846,0.3455328310010764,0.4199134199134199,15.972627639770508,0.0030050277709960938,24,Tanh
1,50,1,65,0.0,0.0001,8,50,Adam,174105.69137437787,156111.54255306802,251.18620184066984,274.69468752203306,417.25974089813394,395.10953234902854,-0.014787980543438328,-0.3063996904236346,259.7276124509338,283.5848493338689,0.3369214208826695,0.36363636363636365,9.914666652679443,0.002000093460083008,24,Tanh
1,50,1,65,0.0,0.0001,8,65,Adam,170140.78003494875,136858.12881207376,246.48807358126274,247.00772311520979,412.4812481009879,369.9434129864644,0.008321800299516902,-0.14527993374527925,578.4143583975006,165.27108544304386,0.31969860064585576,0.30735930735930733,13.022178411483765,0.003000020980834961,24,Tanh
1,50,1,65,0.0,0.0001,8,80,Adam,171922.9804318382,131038.51084330138,253.28447657030188,237.7428664749192,414.6359613345642,361.9924182124556,-0.002065887359666174,-0.09657919715366181,956.3949319801015,139.77095464597718,0.348762109795479,0.4025974025974026,15.742523670196533,0.002005338668823242,24,Tanh
1,50,1,80,0.0,0.0001,8,50,Adam,171988.4724537771,131513.39063946437,251.1569338845681,240.5305001180644,414.7149291426306,362.64775008190026,-0.002447612483988282,-0.1005531686393697,782.1340864139765,134.68682334201338,0.3304628632938644,0.31601731601731603,9.9738130569458,0.0019996166229248047,24,Tanh
1,50,1,80,0.0,0.0001,8,65,Adam,172531.88704665776,127497.17179900932,253.9802664671175,233.04295241515175,415.369578865205,357.0674611316597,-0.005614944883946871,-0.06694394946161086,943.0782924477089,150.56880776169365,0.42734122712594186,0.45454545454545453,13.064069032669067,0.0019998550415039062,24,Tanh
1,50,1,80,0.0,0.0001,8,80,Adam,169893.29657478034,138250.16496646518,243.71353919762612,247.19873267889787,412.1811453411962,371.82007068804825,0.009764276066849265,-0.15692901216327804,361.8269853868564,183.5836056071451,0.43595263724434874,0.48917748917748916,15.586086750030518,0.001996278762817383,24,Tanh
1,65,1,50,0.0,0.0001,8,50,Adam,170880.5837419055,138603.38077607623,246.03401192524782,250.89861318447458,413.3770479137726,372.2947498637017,0.004009799331283981,-0.15988485397216778,422.9514065447312,189.32446075192192,0.3401506996770721,0.3246753246753247,10.066375255584717,0.0020008087158203125,24,Tanh
