Epoch,Training Loss,Validation Loss
0,0.11572855363926317,0.04328743239928936
1,0.019414840972560465,0.004299295304447477
2,0.005495925460301308,0.005541190527106539
3,0.005319541710494564,0.004417593350055917
4,0.005146498233676912,0.0041298495905658485
5,0.0049979362002987825,0.0037159894614135205
6,0.004896533915660599,0.003601069297191912
7,0.004779507789131986,0.003492148329126488
8,0.004712208442197929,0.0033701486849920534
9,0.004647590636756295,0.003285761411273691
10,0.00460545775481439,0.0032702894155779085
11,0.004577991132262266,0.003246560902535466
12,0.004550038102211264,0.003272229134444356
13,0.004538997480422895,0.003283357105954502
14,0.004530863566886291,0.0032517959680889957
15,0.004618419568677748,0.0034610690094394095
16,0.004536337226392446,0.003404051259386851
17,0.004510235014328292,0.0034369870622397466
18,0.004524631274622292,0.00353426212426837
19,0.004503459206600196,0.003394985008745952
20,0.0044957541036777775,0.0035994002113323496
21,0.00450216209962188,0.0035749125251233384
22,0.004487998230864381,0.003288242176118917
23,0.004484317380871274,0.0035219867919483385
24,0.004788491760756677,0.0034958170062023342
25,0.004487449144317697,0.0036168835885573886
26,0.00448438713951912,0.0034670057216787645
27,0.004470490839563183,0.0033915392956134446
28,0.004493860433347778,0.0035993961970109075
29,0.004528095402693153,0.0034406198929304837
30,0.004516493540897002,0.0035990429171541675
31,0.004498517557403519,0.003460408197183981
32,0.0044959757237498146,0.0034501340098735266
33,0.004469111176336017,0.0035098829388955674
34,0.004492137497032268,0.003404578492587336
35,0.004504351737624448,0.0034015148292006604
36,0.004482339742321334,0.004028485535949083
37,0.0045092245648439945,0.003955164698458373
38,0.00449278960205937,0.003767877781025038
39,0.004450331719415103,0.003500009090077646
40,0.004504287368160251,0.0035999223563804067
41,0.004476285845282066,0.00342770847030273
42,0.0044584799517253535,0.003398090282581538
43,0.004475291662289299,0.0035324419516435794
44,0.004471951601360168,0.003781578391900784
45,0.00445310726441427,0.003424448246168422
46,0.0044803036304447465,0.00377911192381048
47,0.004500973109829012,0.003484866134762154
48,0.004453832732113556,0.003553311009580221
49,0.0044443633230243865,0.004082916633141677
