Epoch,Training Loss,Validation Loss
0,0.17121312741795155,0.07642392788467736
1,0.034897600181209736,0.004696135491469939
2,0.006519572970529015,0.006064848650190658
3,0.0058506758128388375,0.005660341215091115
4,0.00567324215055714,0.0053590996128683585
5,0.005452261194158902,0.004936312122575553
6,0.005374872394584708,0.00468870677186401
7,0.005159444300035954,0.003912783736425275
8,0.005195911371489414,0.003953968231959654
9,0.004913289781508601,0.00354987943915305
10,0.004826847910975568,0.0033809097706047207
11,0.004767071276119091,0.0033449361460576445
12,0.004706189156764656,0.003317571214775571
13,0.004698915369251472,0.0033013316780601725
14,0.004736346762670148,0.0033256262666264804
15,0.0046057431813345375,0.0032945904970582544
16,0.004623478226031328,0.0033186846387628787
17,0.004613578032864393,0.0037241546283596485
18,0.004623012648573002,0.003583081008400768
19,0.004558828146929224,0.003606222479620242
20,0.004608726209593224,0.00344257509729279
21,0.0045354866782655046,0.0033386302168545282
22,0.004583495070821502,0.003728583977951122
23,0.004585137649657679,0.003591255686277973
24,0.004555706186996152,0.0035669993195714877
25,0.004586783307902993,0.0034294347283791685
26,0.004553653871064456,0.003511076682931663
27,0.004542096089880166,0.0037477922752290837
28,0.0045974630658250125,0.003503523838499577
29,0.004521339652728007,0.0037470155973629705
30,0.004522744204021162,0.0037610562807270163
31,0.00453140277579192,0.003498598771894367
32,0.004563209463933754,0.0035130503087641737
33,0.00453805910054252,0.00371657114838258
34,0.004522831812023352,0.0033802765332250693
35,0.004536467534937681,0.0036087496354694254
36,0.004548503918290679,0.004236442902013017
37,0.004652807549981432,0.0038682789078126824
38,0.00453563680838491,0.003879046190032286
39,0.004516885433177877,0.003687488489708028
40,0.0044916252273286125,0.003366445088337561
41,0.004527329820462972,0.00354030151005457
42,0.004476884492231696,0.0034464880172263607
43,0.004601949803619725,0.0036845556364980816
44,0.00449480738620489,0.0036250598523424587
45,0.0045049952041620435,0.003667442383724345
46,0.004518802721763794,0.0035455336047593377
47,0.004535591451682023,0.003570662465414177
48,0.00451440149885861,0.003623296040038032
49,0.004517148740631409,0.0034395802835331716
