Epoch,Training Loss,Validation Loss
0,0.20136244002825174,0.10631695415439277
1,0.05810940070634978,0.00852703841017752
2,0.009387234112438865,0.008653655840918935
3,0.006641163247185719,0.008300186969853681
4,0.0063205717746407175,0.007732548444844975
5,0.006033689252291925,0.006540977871768048
6,0.005777698520891384,0.005751297589901289
7,0.005563786402086003,0.0055908412152724666
8,0.005455556338549488,0.005294806962222631
9,0.005181361987299294,0.004231556211317215
10,0.005040807490790279,0.003964229507957874
11,0.005038100230839884,0.00401624393095423
12,0.004830841822788501,0.003800072813615331
13,0.00474085533430772,0.0033222464041720175
14,0.0046787501120508015,0.0032803836697110392
15,0.004637837512955929,0.0032531841786514067
16,0.004581220974871077,0.0032503855071464105
17,0.004567742603122054,0.003288963759932185
18,0.004623899332961092,0.003317326872814286
19,0.004549639252000528,0.0033437135761828513
20,0.004596420910267128,0.0033275539879406126
21,0.004507338451311136,0.0034104065675035536
22,0.004507394277293043,0.003364091606585887
23,0.004510122259559397,0.003381705522268272
24,0.004540274165156317,0.0036667584008055515
25,0.004523995861015083,0.0033955471891235433
26,0.004535074815408796,0.003412947670610798
27,0.004527274576044626,0.0034908339426880865
28,0.004524973582184842,0.003568406344756709
29,0.004533108250493219,0.00334260697578931
30,0.004503277751306693,0.003290436099130853
31,0.004482017276295198,0.003634373313929998
32,0.004523259012225585,0.0035008131410998837
33,0.004503499224367074,0.003602318999112648
34,0.004523737073237172,0.003355352848804363
35,0.004511521960773831,0.003418878915093454
36,0.004484587723616129,0.0036747092958178437
37,0.004543325110250571,0.0036695115594394057
38,0.0045313998948858306,0.003515238739180796
39,0.004482105177201322,0.0033673336912560725
40,0.004492526842354853,0.0036860133946776904
41,0.004472783636092805,0.003669603318798934
42,0.004515190863271411,0.0034802656210276522
43,0.004489586311223336,0.0036659574596279556
44,0.004460597507437715,0.0037908078520558774
45,0.00447412558287008,0.0034623482151173762
46,0.004433083050470386,0.004095746955938701
47,0.004522793302680644,0.003608504454264064
48,0.004475360208526294,0.003584940227577543
49,0.004472450856179095,0.0034186842664173035
50,0.0044868905849717,0.0035571352689595217
51,0.004478781218152955,0.0033554650671531222
52,0.004498326900200202,0.0037735218763279184
53,0.004579258753080319,0.003375980672868097
54,0.004474203798792556,0.0035560529875761733
55,0.004509428450111379,0.0035808776268948287
56,0.004490389701568036,0.0037855903238182536
57,0.004615679194476121,0.0036864913984980627
58,0.004475224539030614,0.004024434102105041
59,0.004476683291606108,0.0042218797858242455
60,0.004493662613119659,0.003714158524636677
61,0.004482436361565935,0.003617764728601444
62,0.0044626524154759515,0.003818507331869051
63,0.004447017799695739,0.003624370804855375
64,0.004464288736677641,0.0036105294117266475
65,0.004454890628490581,0.0036672271691776557
66,0.004466748582353441,0.0034659991827632845
67,0.00448944776206532,0.004070287237670433
68,0.0044723973232898544,0.0036082768414856
69,0.004729221585160918,0.003753877487254393
70,0.004479135587387599,0.0035297558565146356
71,0.004433570630486724,0.0037531099846217267
72,0.004818086006303525,0.0036746563137998677
73,0.005018156518091042,0.003686029132824905
74,0.004489781756753014,0.0035871237871168858
75,0.0044484915104585215,0.0034656649257722794
76,0.004466398067137577,0.003412253202284397
77,0.004483660995466714,0.003643167408881709
78,0.004462822025883584,0.003646342298577957
79,0.004452566237203303,0.00408353480703101
