Epoch,Training Loss,Validation Loss
0,0.0852279383629465,0.1419653633994789
1,0.03288709263627728,0.051610657086210515
2,0.01866089980492098,0.03020669314368018
3,0.015752828853109326,0.022492669956309014
4,0.01311053877744155,0.017030510184322965
5,0.010189974791983254,0.012609723726576516
6,0.007274196865773385,0.006511887677961254
7,0.00463387010863815,0.0025052637682729884
8,0.00260869671680674,0.0011229394269697689
9,0.0014356059735789138,0.0007743779096927028
10,0.0009556591916111951,0.0008856348664141541
11,0.0008109336445664263,0.000964938776350805
12,0.0007799441772142453,0.0009422634724113118
13,0.0007803899204432089,0.0010957372982500538
14,0.0007752031669330099,0.001000050710523471
15,0.0007711314652453407,0.0010122296648503457
16,0.0007659782640363337,0.0009317694147253421
17,0.0007678148272406493,0.0009731598956618812
18,0.0007609413202546545,0.0009397260298477515
19,0.0007591827187807056,0.0009824146506836205
20,0.000761855263147318,0.0007738326903249956
21,0.0007495313647012106,0.000899873236292102
22,0.0007479361264139285,0.0008064702554230311
23,0.0007434248292490812,0.0008321640272133036
24,0.0007453113110262391,0.0007515097609500337
25,0.0007474895455199393,0.0007984813753488386
26,0.0007457217630623287,0.0007298590225187142
27,0.0007289838773493444,0.0006589545978229204
28,0.0007495354302824499,0.0007065733819311798
29,0.0007446915670643804,0.000698616433792581
30,0.0007390357628521911,0.0006833010664759686
31,0.0009117675084485394,0.0006587095609449597
32,0.0008013004769917387,0.0005982349048281321
33,0.000738262732373451,0.0005749799129262101
34,0.0007228641518920015,0.0007014630325008104
35,0.0007509206863423425,0.0005665433658703415
36,0.000737699996565596,0.0005609123142895786
37,0.0007231707475931706,0.0005918119420663249
38,0.0007240432751443114,0.0005590918685654821
39,0.0007235026329061271,0.0005266857625774091
40,0.0007325786308427221,0.0005579133380549671
41,0.0007195066448295044,0.000529205971016099
42,0.0007328027030990387,0.0005325462084485856
43,0.0007289111069214538,0.0005040810592931691
44,0.0007121142092588483,0.0005062771822473412
45,0.0007256484839003822,0.0005225349050306249
46,0.0007194551980296054,0.0005753526182098571
47,0.0007234003985189717,0.0004974064545892581
48,0.0007186763381484611,0.0005004292535635739
49,0.0007337971297741975,0.0004783550082030505
50,0.0007080943414815625,0.0004772065957663942
51,0.0007325468536419844,0.0005351768283209571
52,0.0007198775926794913,0.0004959553048608761
53,0.0007161719577275536,0.0004608769705900441
54,0.0007208716255512176,0.000478601856574924
55,0.0007036726646429787,0.0004645467241626365
56,0.0007186294958442793,0.0004583267409857242
57,0.0007015928834637938,0.00047640869299106394
58,0.0007075301879774639,0.0006172913799046314
59,0.0007098129236300548,0.00044891384841948506
60,0.0007037170705274564,0.0004666020773301766
61,0.0007115862040997396,0.0004568949837542685
62,0.0007162732309109579,0.0004996474288983054
63,0.0007062706986133944,0.0006737445339616709
64,0.0007062742280630538,0.0004898087525612811
